,userName,score,at,content,clean_teks,polarity_score,polarity
10,Jauza Alyusra,1,2023-12-02T06:39:40.000,"semenjak update terbaru, saya buat video berdurasi panjang di capcut selalu ngeleg dan ngebug. padahal saat di aplikasi, video/overlay beserta suaranya normal tetapi saat sudah di ekspor menjadi acak acakan, kecewa bangeet","terbaru,saya,buat,panjang,aplikasi,serta,suara,normal,sudah,jadi,acak,acak",-1,negative
11,ANDRIAN TV,3,2023-11-25T10:52:36.000,Maaf saya belum bisa memberikan bintang yg sempurna karna ada beberapa bug yang membuat saya risih ketika membuat video yaitu seperti ketika sedang mencek video yg kita buat tiba tiba video nya itu jadi slowmo sedangkan lagu nya ga jadi ga pas sama lagu nya itu bug yang harus di hilang bagi saya kualitas sudah cukup baik tapi masih ada bug jadi mohon dihilangkan secepatnya terimakasih🙏,"maaf,saya,beri,yang,sempurna,karena,ada,yang,buat,saya,buat,seperti,cek,yang,buat,itu,jadi,lagu,tidak,jadi,tidak,pas,sama,lagu,itu,yang,harus,hilang,bagi,saya,kualitas,sudah,cukup,baik,ada,jadi,mohon,hilang,cepat,terima kasih",-2,negative
12,Dyah Septi Lestari,2,2023-12-01T10:46:48.000,"Dulu bagus, lancar. Skrg bikin video, fotonya ada yg gak muncul, ketukan foto yg muncul gk sesuai irama musiknya. Dah ganti template, dah di save berkali2 kaya gt semua","bagus,lancar,foto,ada,yang,muncul,foto,yang,muncul,tidak,sesuai,irama,musik,sudah,ganti,sudah,kaya,semua",20,positive
13,Fitrah Helmi,1,2023-11-28T22:45:08.000,"makin hari makin kek aplikasi rusak,banyak bug dimana-mana ntah dari segi kolom komentar,kolom pencarian,masuk aplikasi jya lama atau bahkan sampai gabisa masuk.Banyak sekali bug tidak jelas kembalikan capcut yang dulu,capcut dulu tidak seburuk dan se parah ini makin kesini makin rusak makin tidak jelas. TOLONG SEGERA DI PERBAIKI!!! minimal kalau gabisa memperbaiki,kembalikan capcut seperti versi sebelum nya.","makin,makin,seperti,aplikasi,dari,segi,aplikasi,lama,sampai,sekali,tidak,jelas,yang,tidak,buruk,parah,makin,makin,rusak,makin,tidak,jelas,tolong,segera,baik,minimal,kalau,seperti",-35,negative
14,venessa maysabrina,4,2023-10-13T17:44:27.000,"sangat membantu saya dalam mengedit tugas, banyak fitur dan efek menarik untuk menambah keestetikan, namun sangat disayangkan sering lag dan kadang setelah kembali suara yang sudah dibisukan menjadi bunyi lagi jadi ya ngebisuin lagi. Tapi aplikasinya udah bagus, semoha dikembangkan lebih baik lagi.","sangat,bantu,saya,dalam,tugas,banyak,efek,tarik,tambah,estetik,sangat,sayang,sering,kadang,suara,yang,sudah,bisu,jadi,bunyi,lagi,jadi,lagi,aplikasi,sudah,bagus,kembang,lebih,baik,lagi",36,positive
15,WX Hamdani,4,2023-11-20T04:12:08.000,"Sangat menikmati, tapi mungkin bisa diperbaiki lagi pengalaman ruang editnya, di bagian masukkan text dan audio, saat di geser seperti kurang tepat penempatan nya, pas di buka textnya baru klihatan lagi","sangat,nikmat,mungkin,baik,lagi,alam,ruang,bagi,geser,seperti,kurang,tempat,pas,buka,lagi",3,positive
16,Gunar Dwiyana,1,2023-11-26T08:24:29.000,"Niat beli hape baru biar kerjaan dicapcut makin cepat, eh malah sebaliknya. Mau pasang gambar tiba² keluar sendiri. Saya sudah coba berkali² dan menggunakan cara apapun yg ada diyoutube tp ttp tidak membantu. Tolong capcut saat memasang gambar aplikasi diprogram jangan langsung force close.","beli,makin,cepat,balik,mau,pasang,gambar,keluar,sendiri,saya,sudah,coba,guna,apa,yang,ada,tidak,bantu,tolong,pasang,gambar,aplikasi,jangan,langsung,paksa,tutup",0,neutral
17,Naomi Salsabila,4,2023-10-28T20:35:45.000,"Kadang tuh tergantung sinyal jd kadang lag kadang engga lah, tp PP di capcut agak gmn gitu ya. Jd sedikit kurang nyaman gitu. Tp not bad bagus² aja, cm kadang tuh meski sinyalnya bagus, misalnya kan sinyalnya bagus tp dari foto yg pertama mau yg ke dua itu agak lag, jd lagunya masih sm kayak yg pertama/foto pertama gitu... Tapi capcut sangat membantu buat aku yg suka jj tp ga mau ribet wkwkw. Intinya ke kurangnya itu sih.maaf jika ada tutur kata yg kurang mengenakan & kurang berkenan dihati ya.","kadang,gantung,jadi,kadang,kadang,jadi,sedikit,kurang,nyaman,bad,bagus,saja,kadang,meski,bagus,bagus,dari,foto,yang,mau,yang,dua,itu,jadi,lagu,kayak,yang,sangat,bantu,buat,aku,yang,suka,tidak,mau,ribet,kurang,itu,ada,tutur,kata,yang,kurang,kena,kurang,kenan,hati",-12,negative
18,Farrel Pecinta mobil,3,2023-12-01T22:23:01.000,Ada bug yang cukup ganggu yaitu ketika sedang mengunakan suara dalam pengeditan video masalahnya adalah ketika masang suara itu tidak sesuai dengan frame rate video tersebut masalah ini cukup mengganggu bagi saya,"ada,yang,cukup,ganggu,suara,dalam,masalah,suara,itu,tidak,sesuai,nilai,masalah,cukup,ganggu,bagi,saya",-20,negative
19,fawwaz rizqiullah,5,2023-09-30T18:01:59.000,"Aplikasinya sangat memudahkan pemula dalam mengedit video. Semoga kedepan nya dapat membuat para pelajar editor menjadi dapat menguasai kemampuan editing Sayang nya, di bagian animasi, terdapat beberapa animasi yang tidak membutuhkan pro berada di tengah tengah pro. Semoga di berikutnya developer memisahkan animasi pro capcut dan animasi regular capcut ---sekian Terima kasih---","aplikasi,sangat,mudah,mula,dalam,moga,dapat,buat,para,ajar,jadi,dapat,kuasa,mampu,sayang,bagi,dapat,yang,tidak,butuh,ada,tengah,tengah,moga,ikut,pisah,terima,kasih",17,positive
20,Tsamara Olga Az Zahra,2,2023-11-25T09:48:39.000,"Saya membuat video dengan durasi 10 menit, tetapi saat sudah terekspor, videonya ngebug. Suaranya masih, tetapi tampilan yang sudah saya buat (gambar dasar, overlay, dan teks) menjadi tidak beraturan dan sebagian menghilang. Bagaimana solusinya? 😁","saya,buat,sudah,suara,tampil,yang,sudah,saya,buat,gambar,teks,jadi,tidak,atur,bagi,hilang,solusi",7,positive
21,Annisa,5,2023-10-19T12:22:50.000,"Aplikasi yang sangat keren dan praktis, disini kita bisa membuat video yang aestetic dengan mudah, cukup masukkan saja foto-foto kita dan template nya juga banyak pilihan serta mengikuti trend yang kekinian. Untuk tempate dan audio nya semuanya sangat bagus sekali pokoknya sangat rekomendasi untuk pembuatan video aestetic tanpa ribet","aplikasi,yang,sangat,praktis,buat,yang,mudah,cukup,saja,banyak,pilih,serta,ikut,yang,kini,semua,sangat,bagus,sekali,pokok,sangat,buat,ribet",-8,negative
22,Lang Lang Buana LengLeng Buleng,5,2023-10-10T23:16:39.000,"Saya suka aplikasi ini,buat editing video atau gambar sangat bagus dan banyak fiturnya apa lagi versi premiumnya.Cuma di hp saya tidak optimal kalau edit video banyak efek-efek jadi satu membuat lag pada perangkat saya mungkin karna RAM dan GPU tidak kuat memprosesnya.Semoga kedepannya bisa dioptimalkan buat perangkat RAM 4 dan GPU kelas menengah.Terima kasih.","saya,suka,aplikasi,gambar,sangat,bagus,banyak,apa,lagi,saya,tidak,kalau,banyak,jadi,satu,buat,pada,saya,mungkin,karena,tidak,kuat,buat,kasih",-11,negative
23,Joni As Putra,5,2023-09-15T19:37:16.000,"Bisa gak di kasih format MKV, jangan MP4 semua, MKV kan lebih sedikit mumuat ruang, klu MP4 file nya kebesaran untuk ruang memori. Masa File yang durasi 3 menit aja bisa 1 GB lebih, Aplikasi nya sudah hampir sempurna nih.., durasi editing nya cepat, saya suka dengan yang cepat-cepat. Gak banyk menghabiskan waktu dan ruang penyimpanan saya. Di kasihnya para developer CapCut. Thanks.","kasih,jangan,semua,lebih,sedikit,ruang,besar,ruang,yang,saja,lebih,aplikasi,sudah,sempurna,cepat,saya,suka,yang,habis,ruang,simpan,saya,kasih,para,terima kasih",-13,negative
24,PANDORA,1,2023-11-12T22:55:06.000,"Setelah update baru ini, app nya makin buruk saja, contah pas mau nge slowmo videonya hasilnya tidak sebagus dulu hasilnya malah patah patah setelah di slowmo,walaupun dah di ubah ke kualitas yg lebih baik tetap patah² hasil video nya,semoga cepat di perbaiki min, jadi app lu gw hapus dlu min...","terbaru,makin,buruk,saja,pas,mau,hasil,tidak,bagus,hasil,patah,patah,sudah,kualitas,yang,lebih,baik,tetap,patah,hasil,cepat,baik,jadi,saya,hapus",10,positive
25,Tio Raditia,2,2023-11-17T13:33:02.000,Tolong di perbaiki setelah update kenapa setiap mau menambahkan audio dari perangkat pemindaian nya lama Padahal di versi sebelumnya gak harus nunggu setiap menambahkan audio Tapi di versi ini harus memindai terus menerus Bahkan cukup lama Menurutku ini bukan karena spesifikasi atau jaringan yang tidak stabil Tapi emang eror Tolong lah segera di fix,"tolong,baik,terbaru,mau,tambah,dari,lama,harus,nunggu,tambah,harus,cukup,lama,turut,bukan,karena,spesifikasi,jaringan,yang,tidak,stabil,error,tolong,segera",-23,negative
26,Shyfa,5,2023-11-10T13:21:37.000,"Capcut adalah aplikasi editor saya, tetapi semenjak Volume Handphone saya Error saya jadi susah untuk ngesave Video yang saya bikin,, Jadi di mohon Developer agar bisa di rotasi agar bisa ngesave Videonya Jika sudah di Update saya berterima kasih sekali kepada Developer","aplikasi,saya,saya,error,saya,jadi,susah,yang,saya,jadi,mohon,agar,agar,sudah,terbaru,saya,terima,kasih,sekali",-24,negative
27,Tsurayya 14,4,2023-11-22T20:22:22.000,"Aplikasi ini menurutku kurang ya, soalnya pas lagi ngedit tiba tiba lag, vidionya di play malah cuma ada suara doang, vidionya tu kaya nge freeze gitu, menurutku not bad, semoga segera diperbaiki, sementara aku kasih bintang 3 dulu.","aplikasi,turut,kurang,soal,pas,lagi,main,cuma,ada,suara,doang,kaya,turut,bad,moga,segera,baik,sementara,aku,kasih",-3,negative
28,Regi Official,3,2023-10-09T14:49:17.000,"Aplikasi nya bagus, tapi kenapa Sy kasih bintang 3? Karena setiap Sy belum update pasti aplikasi nya ga bisa di gunakan harus di update selalu ada tulisan 'aplikasi telah usang' buat hp yg RAMnya dikit sperti hp Sy itu bikin hp Sy memorinya penuh mana MBnya besar lag dan ada satu lagi kendala yaitu terlalu banyak iklan yang sangat mengganggu. Tolong ya di PERBAIKI, walaupun gak di update masih bisa di pake apl nya dan iklannya di hapus atau di dikitin aja","aplikasi,bagus,saya,kasih,karena,saya,terbaru,pasti,aplikasi,tidak,guna,harus,terbaru,ada,aplikasi,usang,buat,yang,dikit,seperti,saya,itu,saya,besar,ada,satu,lagi,terlalu,banyak,yang,sangat,ganggu,tolong,baik,terbaru,aplikasi,hapus,saja",-36,negative
29,BRCK 1957,4,2023-11-10T20:42:49.000,"Buat admin capcut, update sekarang makin parah,moso ngekspor templat harus berulang""kali, padahal jaringan ok,mainnya jangan gitu lah kalo nyari untung, trus lagi scrol cari templat, kadang balik ke awal templat yg udah dilewatin, apaan coba?, TOLONG DIPERBAIKI BUAT ADMIN CAPCUT!!!!!","buat,terbaru,makin,harus,jaringan,jangan,kalau,mencari,untung,lagi,cari,kadang,balik,awal,yang,sudah,apa,coba,tolong,baik,buat",-4,negative
30,Black Sauce,4,2023-09-29T16:09:18.000,"Overall aplikasinya bagus, cuman ada satu fitur yang kurang yaitu copy paste nya, seharusnya ada fitur tombol shortcut yang memudahkan kita untuk mengcopy lebih dari 1 efek, karena untuk membuat edit perlu banyak sekali efek, jadi jika fitur ini ditambahkan, maka akan sangat memudahkan penggunanya Tolong ditambahkan fiturnya 🙏","aplikasi,bagus,ada,satu,yang,kurang,harus,ada,yang,mudah,lebih,dari,efek,karena,buat,perlu,banyak,sekali,efek,jadi,tambah,sangat,mudah,guna,tolong,tambah",14,positive
31,intan s,3,2023-11-15T18:43:37.000,"Ada beberapa kendala kecil ya,pertama pas ekspor video tuh jadi lag bgt padahal cuman lirik doang mana pendek kadang smpe 30 menit,yang kedua pas buka apk langsung muncul iklan alias suka risih aja gitu sama si iklannya,yang ketiga pas slowmo videonya tuh jadi patah-patah bgt tapi masih okelah yaa recommended bgt si buat editor!!! 9/10","ada,kecil,pas,jadi,doang,pendek,kadang,dua,pas,buka,aplikasi,langsung,muncul,suka,saja,sama,pas,jadi,oke,buat",27,positive
32,m firdaus,4,2023-10-19T18:47:50.000,"Aplikasinya sangat memudahkan pemula dalam mengedit video. Semoga kedepan nya dapat membuat para pelajar editor menjadi dapat menguasai kemampuan editing Sayang nya, di bagian animasi, terdapat beberapa animasi yang tidak membutuhkan pro berada di tengah tengah pro. Semoga di berikutnya developer memisahkan animasi pro capcut dan animasi regular capcut -sekian Terima kasih-","aplikasi,sangat,mudah,mula,dalam,moga,dapat,buat,para,ajar,jadi,dapat,kuasa,mampu,sayang,bagi,dapat,yang,tidak,butuh,ada,tengah,tengah,moga,ikut,pisah,terima,kasih",17,positive
33,Sofie Karmila,4,2023-11-04T21:01:26.000,Aplikasiinyaa membantu bangettt sangatt baguss. videonya juga keren kerenn elemennya sangat lengkap. Alangkah baik nya jika ditambahkan fitur share link agar membantuu dalam mengedit bersama teman dari jarak jauh. Supaya seperti saat sedang mengedit tugas video tidak hanya satu editor saja yg bisa menyelesaikan nya tapi bisa dikerjakan lewat handphone yang lain. terimakasihh sangatttt sangatt membantuu 💗,"bantu,bagus,sangat,lengkap,alangkah,baik,tambah,agar,dalam,sama,dari,jarak,jauh,supaya,seperti,tugas,tidak,hanya,satu,saja,yang,selesai,lewat,yang,lain",-4,negative
34,Anis Fitria,4,2023-11-24T06:52:19.000,"Tolong capcut di perbaiki, padahal wifi lancar, tetapi kenapa templatnya gak keluar keluar,dan selaluada tulisan""tidak ada koneksi internet. Hubungkan ke internet dan coba lagi"". Padahal hp saya udah nyambubg ke wifi. Tolong perbaiki","tolong,baik,lancar,keluar,ada,koneksi,hubung,coba,lagi,saya,sudah,tolong,baik",9,positive
35,Viola Dwi chandra,2,2023-10-17T23:48:32.000,"Tambah di update malah semakin ga bagus, biasanya ada efeknya sekarang gaada, tambah kalo ngedit cari foto eh pas mau ganti cari lagi, sebelum di update cari foto trs mau ganti ga ssh cari dari awal lagi, tambah capcut sekarang makin di update makin banyak data yang habis, 3 video yg saya cari habis 250mb. Itu MB nya terlalu besar, bagi saya capcut yg lama lebih keren sih. Tapi capcut bagus membantu juga buat ngedit. Tapi tolong lah banyak data yg habis cuma liat² blm lagi download nya.","tambah,terbaru,makin,tidak,bagus,biasa,ada,efek,tambah,kalau,cari,foto,pas,mau,ganti,cari,lagi,terbaru,cari,foto,mau,ganti,tidak,cari,dari,awal,lagi,tambah,makin,terbaru,makin,banyak,data,yang,habis,yang,saya,cari,habis,itu,terlalu,besar,bagi,saya,yang,lama,lebih,bagus,bantu,buat,tolong,banyak,data,yang,habis,cuma,lihat,lagi",12,positive
36,dwi anang,3,2023-11-22T01:39:16.000,Foto gak pernh bisa full sesuai asli hasil foto kita dan sllu terpotong. Hanya terlihat sebagian. Semuanya begitu.. jadi jarang pake capcut.. tolong di perbaiki lagi lah ...,"foto,sesuai,asli,hasil,foto,potong,hanya,lihat,bagi,semua,jadi,tolong,baik,lagi",10,positive
37,Bubun Yuvi,2,2023-11-20T05:51:19.000,"Update terbaru per tgl 15 nov banyak sekali bugnya, bbrp kali kepental out saat lagi ngedit. Makin parah lagnya padahal cuma bikin suara dari teks. Habis lagi kepental out lg. Tolong diperbaiki dong...","terbaru,tanggal,banyak,sekali,pental,keluar,lagi,makin,parah,cuma,suara,dari,teks,habis,lagi,pental,keluar,lagi,tolong,baik",-25,negative
38,Rika Azzahra,3,2023-11-19T09:42:34.000,"Ini kenapa capcut kok makin jelek tiap bulan minta update terus. Giliran udah selesai up malah macet, aplikasi suka keluar sendiri saya ngedit kan jadi harus ngulang"" terus tolong ya diperbaiki. Sangat menggangu saat digunakan","makin,jelek,bulan,minta,terbaru,sudah,selesai,aplikasi,suka,keluar,sendiri,saya,jadi,harus,tolong,baik,sangat,guna",-2,negative
39,Juhaenah Juhaenah,3,2023-10-10T21:44:31.000,"Aku dari dulu suka pakai capcut buat edit video cuma kekurangannya, kadang gak semua audio terbaca di capcut gak muncul saat mau masukin audio, udah berbagai cara dicoba di edit dulu di aplikasi lain audionya tetap gak terbaca di capcut, jadinya harus di edit dulu di aplikasi sebelah audionya masukin dulu video terus pasang audionya eksport dari aplikasi sebelah terus baru masukin ke capcut yang udah jdi video di import suara saja bisa langsung. Cuma memang harus seribet itukah? Hhmm","aku,dari,suka,buat,cuma,kurang,kadang,semua,baca,muncul,mau,sudah,coba,aplikasi,lain,tetap,baca,jadi,harus,aplikasi,belah,pasang,dari,aplikasi,belah,yang,sudah,jadi,import,suara,saja,langsung,cuma,memang,harus,itu",-15,negative
40,arvia widanti,1,2023-11-07T23:47:37.000,"ngehang parahhhhh, pas lagi nonton hasil edit cuma full item, pas lagi ekspor malah nge stuck di 99%. padahal beberapa apk sama video-video ku udah ku hapus semua sampe penyimpanan legowo. uda nyoba hapus data tetep ae, sinyal wifi pun lagi lancar jaya, uda nyoba restart hp juga. sebell bngettt.","pas,lagi,hasil,cuma,hitam,pas,lagi,aplikasi,sama,sudah,hapus,semua,sampai,simpan,coba,hapus,data,pun,lagi,lancar,jaya,coba",-9,negative
41,syahrul rusli,5,2023-11-30T15:05:13.000,"Sangat mudah digunakan sebagai aplikasi untuk ngedit video, hanya sedikit belajar rasanya sudah bisa jadi video editor profesional. Keinginan untuk membuat video yang menarik dari hasil jalan jalan jadi terwujud berkat capcut.","sangat,mudah,guna,aplikasi,hanya,sedikit,ajar,rasa,sudah,jadi,buat,yang,tarik,dari,hasil,jadi,wujud,berkat",2,positive
42,challyka irdina,4,2023-09-17T07:20:17.000,"Aplikasi ny sebenernya bagus, saya udah pakai aplikasi ini dari tahun 2022,dan dari dulu saat saya memakai apk ini tidak ada masalah apa"". Cuma ketika saya update capcut yang kali ini, pas saya ingin mengekspor template loading nya lama banget, angka nya 0 mulu ga naik"". Trus setiap masuk capcut juga suka ngelag, padahal jaringan bagus dan memori saya masih cukup. Harap di perbaiki masalahnya 🙏🏻, terimakasih","aplikasi,sebenarnya,bagus,saya,sudah,aplikasi,dari,dari,saya,aplikasi,tidak,ada,masalah,apa,cuma,saya,terbaru,yang,pas,saya,lama,melulu,tidak,naik,suka,jaringan,bagus,saya,cukup,harap,baik,masalah,terima kasih",-34,negative
43,Yamiya _Chan,3,2023-09-07T06:25:39.000,"Capcut kadang annoying kadang enggak, yang saya maksud annoying adalah Aplikasinya sering lag dan sering nge freeze selain itu saat saya mencoba login ulang saya tidak bisa masuk selalu ada ""pengguna capcut harus berusia 13 tahun keaatas"" Itu sedikit annoying, tapi gpp yang penting bisa dipakai, dan kadang saat ingin ngedit/template itu sering nge lag dan selalu keluar sendiri tolong diperbaiki supaya aplikasinya menjadi lebih baik Dan tolong biarkan saya login :)","kadang,kadang,tidak,yang,saya,maksud,aplikasi,sering,sering,itu,saya,coba,saya,tidak,ada,guna,harus,itu,sedikit,yang,penting,kadang,itu,sering,keluar,sendiri,tolong,baik,supaya,aplikasi,jadi,lebih,baik,tolong,saya",-29,negative
44,jilan naoval,2,2023-11-13T02:56:31.000,"Udah berkali² download ulang tapi tetep aja bermasalah, yg pertama gabisa di login nin. Trs setelah uninstall dan coba download ulang bisa di login nin, tapi jadi malah gabisa nge search 🤬 tolong di perbaiki lagi capcut ko malan jd sering error","sudah,saja,masalah,yang,copot,coba,jadi,tolong,baik,lagi,jadi,sering,error",-8,negative
45,Rorry Kusdinar,5,2023-09-29T18:15:24.000,"menurut gue sih, capcut ini udah ""PERFECT"" banget, cuman masih ada beberapa yang bener² bikin gue pusing stengh mati. Ini durasi udah lumayan singkat 1menit, efek2nya udah bagus sayangnya pas gue simpen itu video ada beberapa efek dan font yang ilang/jadi kecil banget/fontnya gajelas yang gue taruh di beberapa klip, dan itu bikin frustasi banget, harap harap developer rep gue untuk diperbaiki lebih lanjut dan lebih bagus, thx, ini saran dari gue 🫶🏻✨✨✨","turut,saya,sudah,ada,yang,benar,saya,pusing,mati,sudah,lumayan,singkat,efek,sudah,bagus,sayang,pas,saya,itu,ada,efek,yang,kecil,yang,saya,taruh,itu,frustasi,harap,harap,saya,baik,lebih,lanjut,lebih,bagus,terima kasih,saran,dari,saya",8,positive
46,creamy pandax,3,2023-09-14T16:01:20.000,"aplikasi udah bagus apalagi nyoba fitur premium, cuman sayangnya setelah barusan di update dan saya mau ngerjain project saya lagi malah pada ilang sendiri kaya transisi, font, musik, efek padahal di timeline nya ada... tolong di perbaiki min","aplikasi,sudah,bagus,coba,premium,sayang,terbaru,saya,mau,saya,lagi,pada,hilang,sendiri,kaya,musik,efek,ada,tolong,baik",17,positive
47,msukron faza,1,2023-12-02T14:41:12.000,"Update an kali ini ada bug ,,, bintang 1 dulu, setiap edit video durasi 2 menit ke atas , saat video nya di cut, video kedua suaranya gak tepat sama videonya,,","terbaru,ada,atas,dua,suara,sama",10,positive
48,shiiva amely,3,2023-11-28T21:07:00.000,"tiap mau pasang gambar pasti ""tidak bisa memuat animasi"" pertama coba refresh trs balik lagi bisa, tapi kaya gitu lagi. itu bukan cuma sekali dua kali, tapi hampir terus tiap mau buat project, mohon bantuannya:((","mau,pasang,gambar,pasti,tidak,coba,balik,lagi,kaya,lagi,itu,bukan,cuma,sekali,dua,mau,buat,mohon,bantu",7,positive
49,Tekno lo G,5,2023-10-08T19:13:45.000,"CapCut adalah salah satu aplikasi pengeditan video terbaik yang pernah saya gunakan! Saya terkesan dengan beragam fitur kreatifnya seperti efek visual yang mengagumkan, alat pemotongan yang akurat, dan beragam musik yang dapat ditambahkan. Antarmuka yang intuitif membuatnya mudah digunakan, bahkan bagi pemula. Saya telah membuat video yang mengesankan dengan aplikasi ini dan sangat merekomendasikan CapCut kepada semua orang yang ingin menghasilkan konten video berkualitas tinggi","salah,satu,aplikasi,baik,yang,saya,guna,saya,kes,agam,kreatif,seperti,efek,yang,kagum,potong,yang,agam,musik,yang,dapat,tambah,yang,intuitif,buat,mudah,guna,bagi,mula,saya,buat,yang,aplikasi,sangat,semua,yang,hasil,kualitas,tinggi",-3,negative
